Data File	C:\Users\User\Documents\OmniSEC Data\System 1\Standards_and_Kreith_June2020\2020-06-23_18;45;05_PEO_Std_green_01.vdt
Sample ID	PEO_Std_green
Method File Name	calibration_june_2020_2-0001.vcm
Date Acquired	Jun 23, 2020 - 18:45:05
Solvent	water+NaN3+NaNO3
Operator	admin : Administrator
Column Set	A6000M+A4000
System	System 1
Flow Rate (ml/min)	 0.700
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00233
Det. Temp (Deg C)	30.000
Col. Temp (Deg C)	30.000

Ret. Vol.	RI	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0,23567	18,662	25,712	86,947	-81,545	44,11451					
0,23800	18,693	25,727	86,871	-81,561	44,11267					
0,24033	18,693	25,727	86,856	-81,606	44,11145					
0,24267	18,677	25,727	86,901	-81,622	44,11206					
0,24500	18,662	25,803	86,947	-81,576	44,11390					
0,24733	18,632	25,803	87,024	-81,545	44,11573					
0,24967	18,616	25,788	87,039	-81,530	44,11877					
0,25200	18,586	25,773	87,115	-81,530	44,12000					
0,25433	18,586	25,742	87,069	-81,454	44,12183					
0,25667	18,616	25,712	87,039	-81,469	44,12122					
0,25900	18,632	25,712	87,024	-81,500	44,12122					
0,26133	18,632	25,727	87,085	-81,515	44,12244					
0,26367	18,632	25,666	87,039	-81,530	44,12427					
0,26600	18,616	25,697	87,054	-81,622	44,12366					
0,26833	18,601	25,666	87,039	-81,652	44,12610					
0,27067	18,616	25,651	87,024	-81,637	44,12854					
0,27300	18,647	25,651	87,024	-81,606	44,12793					
0,27533	18,662	25,727	87,085	-81,576	44,12732					
0,27767	18,677	25,712	87,085	-81,530	44,12732					
0,28000	18,677	25,742	87,069	-81,515	44,12549					
0,28233	18,662	25,773	87,100	-81,561	44,12183					
0,28467	18,647	25,788	87,085	-81,576	44,12183					
0,28700	18,616	25,758	87,024	-81,576	44,12122					
0,28933	18,601	25,742	87,024	-81,606	44,12183					
0,29167	18,601	25,742	87,069	-81,622	44,12244					
0,29400	18,601	25,712	87,069	-81,591	44,12305					
0,29633	18,601	25,666	87,069	-81,606	44,12183					
0,29867	18,662	25,651	87,085	-81,561	44,12183					
0,30100	18,693	25,651	87,085	-81,500	44,12122					
0,30333	18,693	25,651	87,069	-81,500	44,12244					
0,30567	18,708	25,651	87,069	-81,530	44,12366					
0,30800	18,708	25,697	87,069	-81,500	44,12671					
0,31033	18,662	25,758	87,161	-81,515	44,12793					
0,31267	18,647	25,742	87,130	-81,576	44,12854					
0,31500	18,632	25,727	87,130	-81,561	44,12610					
0,31733	18,632	25,742	87,115	-81,530	44,12305					
0,31967	18,662	25,712	87,130	-81,545	44,11756					
0,32200	18,677	25,681	87,069	-81,591	44,11329					
0,32433	18,647	25,727	87,115	-81,591	44,10718					
0,32667	18,647	25,742	87,146	-81,622	44,10229					
0,32900	18,647	25,727	87,146	-81,652	44,09620					
0,33133	18,647	25,727	87,100	-81,652	44,09131					
0,33367	18,616	25,712	87,069	-81,683	44,08521					
0,33600	18,616	25,681	87,100	-81,652	44,08033					
0,33833	18,632	25,697	87,054	-81,622	44,07666					
0,34067	18,647	25,697	87,054	-81,576	44,07605					
0,34300	18,632	25,712	87,100	-81,591	44,07605					
0,34533	18,677	25,681	87,054	-81,545	44,07911					
0,34767	18,693	25,681	87,008	-81,561	44,08215					
0,35000	18,677	25,681	87,024	-81,576	44,08459					
0,35233	18,647	25,651	87,039	-81,606	44,08643					
0,35467	18,632	25,636	87,008	-81,606	44,08765					
0,35700	18,632	25,712	87,024	-81,576	44,08643					
0,35933	18,616	25,712	87,039	-81,545	44,08459					
0,36167	18,616	25,651	87,085	-81,484	44,08398					
0,36400	18,632	25,636	87,069	-81,439	44,08215					
0,36633	18,647	25,590	87,115	-81,423	44,08032					
0,36867	18,647	25,529	87,176	-81,439	44,07971					
0,37100	18,677	25,559	87,176	-81,500	44,07788					
0,37333	18,708	25,620	87,191	-81,515	44,07544					
0,37567	18,693	25,651	87,207	-81,515	44,07361					
0,37800	18,708	25,712	87,176	-81,469	44,07300					
0,38033	18,693	25,742	87,146	-81,439	44,07117					
0,38267	18,677	25,712	87,130	-81,423	44,07361					
0,38500	18,677	25,712	87,039	-81,439	44,07727					
0,38733	18,677	25,727	87,054	-81,469	44,08094					
0,38967	18,662	25,712	87,039	-81,484	44,08399					
0,39200	18,647	25,727	87,024	-81,515	44,08704					
0,39433	18,647	25,742	86,993	-81,530	44,08826					
0,39667	18,616	25,697	87,039	-81,530	44,08826					
0,39900	18,616	25,681	86,962	-81,469	44,09131					
0,40133	18,616	25,681	86,978	-81,500	44,09314					
0,40367	18,632	25,681	86,993	-81,530	44,09742					
0,40600	18,647	25,666	87,024	-81,484	44,10230					
0,40833	18,677	25,727	86,947	-81,484	44,10779					
0,41067	18,677	25,758	87,008	-81,500	44,10962					
0,41300	18,708	25,773	87,008	-81,469	44,11329					
0,41533	18,723	25,742	87,008	-81,439	44,11329					
0,41767	18,708	25,773	86,993	-81,439	44,11206					
0,42000	18,708	25,697	87,069	-81,439	44,10779					
0,42233	18,723	25,712	87,039	-81,439	44,10596					
0,42467	18,677	25,681	87,008	-81,439	44,09985					
0,42700	18,693	25,712	87,024	-81,423	44,09558					
0,42933	18,693	25,712	87,069	-81,393	44,09192					
0,43167	18,677	25,758	87,069	-81,439	44,08887					
0,43400	18,693	25,758	87,069	-81,454	44,08337					
0,43633	18,708	25,773	87,130	-81,454	44,07971					
0,43867	18,677	25,773	87,115	-81,423	44,07605					
0,44100	18,647	25,742	87,039	-81,469	44,07178					
0,44333	18,616	25,742	87,024	-81,423	44,06934					
0,44567	18,601	25,681	87,039	-81,454	44,06812					
0,44800	18,601	25,697	86,993	-81,439	44,06812					
0,45033	18,616	25,674	87,115	-81,500	44,06689					
0,45267	18,662	25,693	87,176	-81,454	44,06628					
0,45500	18,677	25,655	87,207	-81,454	44,06384					
0,45733	18,647	25,693	87,191	-81,484	44,06079					
0,45967	18,632	25,693	87,191	-81,530	44,05835					
0,46200	18,647	25,712	87,054	-81,500	44,05713					
0,46433	18,662	25,742	87,008	-81,545	44,05591					
0,46667	18,693	25,742	86,962	-81,576	44,05591					
0,46900	18,708	25,697	86,978	-81,545	44,05591					
0,47133	18,754	25,620	86,978	-81,561	44,05530					
0,47367	18,738	25,605	87,008	-81,576	44,05408					
0,47600	18,723	25,575	87,069	-81,561	44,05347					
0,47833	18,723	25,575	87,115	-81,561	44,05286					
0,48067	18,738	25,636	87,130	-81,545	44,05408					
0,48300	18,723	25,712	87,191	-81,500	44,05652					
0,48533	18,708	25,742	87,237	-81,530	44,06201					
0,48767	18,677	25,758	87,222	-81,561	44,06689					
0,49000	18,647	25,758	87,207	-81,530	44,07178					
